temperature,dewpoint,pressure,wind_speed,wind_dir,wind_dir_degrees,visibility,humidity,max_temperature,min_temperature,temperature_normal,min_temperature_normal,max_temperature_normal,min_temperature_record,max_temperature_record,min_temperature_record_year,max_temperature_record_year,max_humidity,min_humidity,max_dewpoint,min_dewpoint,max_pressure,min_pressure,max_wind_speed,min_wind_speed,max_visibility,min_visibility,fog,hail,snow,rain,thunder,tornado,snowfall,monthtodatesnowfall,since1julsnowfall,snowdepth,precip,preciprecord,preciprecordyear,precipnormal,since1janprecipitation,since1janprecipitationnormal,monthtodateprecipitation,monthtodateprecipitationnormal,precipsource,gdegreedays,heatingdegreedays,coolingdegreedays,heatingdegreedaysnormal,monthtodateheatingdegreedays,monthtodateheatingdegreedaysnormal,since1sepheatingdegreedays,since1sepheatingdegreedaysnormal,since1julheatingdegreedays,since1julheatingdegreedaysnormal,coolingdegreedaysnormal,monthtodatecoolingdegreedays,monthtodatecoolingdegreedaysnormal,since1sepcoolingdegreedays,since1sepcoolingdegreedaysnormal,since1jancoolingdegreedays,since1jancoolingdegreedaysnormal,avgoktas,icon,epoch,pretty,rfc822,iso8601,year,month,day,yday,hour,min,sec,monthname,monthname_short,weekday,weekday_short,ampm,tz_short,tz_long,tz_offset_text,tz_offset_hours
83,69,29.67,8,null,null,5,null,88,77,null,69,87,60,104,2004,2000,74,41,70,66,29.71,29.65,11,4,7,4,0,0,0,0,0,0,0,null,null,null,0,1.73,2014,0.08,null,null,null,null,null,33,0,18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,clear,1530417600,"12:00 PM CST on July 01, 2018","Sun, 01 Jul 2018 12:00:00 +0800",2018-07-01T12:00:00+0800,2018,7,1,181,12,0,0,July,Jul,Sunday,Sun,PM,CST,Asia/Shanghai,800,8
81,69,29.64,5,null,null,6,null,88,74,null,69,87,60,102,2015,1999,83,40,72,66,29.69,29.56,9,2,13,2,0,0,0,1,0,0,0,null,null,null,0,0.16,2014,0.08,null,null,null,null,null,31,0,16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,rain,1530504000,"12:00 PM CST on July 02, 2018","Mon, 02 Jul 2018 12:00:00 +0800",2018-07-02T12:00:00+0800,2018,7,2,182,12,0,0,July,Jul,Monday,Mon,PM,CST,Asia/Shanghai,800,8
80,71,29.53,4,null,null,4,null,87,73,null,69,87,62,100,2015,2010,94,45,73,69,29.62,29.44,7,2,6,3,0,0,0,1,0,0,0,null,null,null,0.02,0.04,2016,0.09,null,null,null,null,null,30,0,15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,rain,1530590400,"12:00 PM CST on July 03, 2018","Tue, 03 Jul 2018 12:00:00 +0800",2018-07-03T12:00:00+0800,2018,7,3,183,12,0,0,July,Jul,Tuesday,Tue,PM,CST,Asia/Shanghai,800,8
86,70,29.45,4,null,null,5,null,96,75,null,69,87,66,102,2004,2010,89,31,72,66,29.5,29.38,9,2,8,4,0,0,0,0,0,0,0,null,null,null,0,0.87,2017,0.09,null,null,null,null,null,36,0,20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,clear,1530676800,"12:00 PM CST on July 04, 2018","Wed, 04 Jul 2018 12:00:00 +0800",2018-07-04T12:00:00+0800,2018,7,4,184,12,0,0,July,Jul,Wednesday,Wed,PM,CST,Asia/Shanghai,800,8
84,70,29.56,5,null,null,5,null,95,73,null,69,87,62,105,1997,2010,89,30,73,64,29.68,29.47,20,2,6,1,0,0,0,1,0,0,0,null,null,null,0.12,0.2,2012,0.08,null,null,null,null,null,34,0,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,rain,1530763200,"12:00 PM CST on July 05, 2018","Thu, 05 Jul 2018 12:00:00 +0800",2018-07-05T12:00:00+0800,2018,7,5,185,12,0,0,July,Jul,Thursday,Thu,PM,CST,Asia/Shanghai,800,8
82,69,29.71,5,null,null,6,null,95,69,null,69,87,66,105,1996,2010,94,33,70,66,29.77,29.67,11,0,9,4,0,0,0,0,0,0,0,null,null,null,0,0.87,2017,0.08,null,null,null,null,null,32,0,17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,clear,1530849600,"12:00 PM CST on July 06, 2018","Fri, 06 Jul 2018 12:00:00 +0800",2018-07-06T12:00:00+0800,2018,7,6,186,12,0,0,July,Jul,Friday,Fri,PM,CST,Asia/Shanghai,800,8
76,72,29.74,5,null,null,3,null,80,73,null,69,87,66,95,1999,1998,94,62,73,69,29.8,29.7,9,2,4,1,0,0,0,1,0,0,0,null,null,null,0.24,0.24,2018,0.09,null,null,null,null,null,26,0,12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6,rain,1530936000,"12:00 PM CST on July 07, 2018","Sat, 07 Jul 2018 12:00:00 +0800",2018-07-07T12:00:00+0800,2018,7,7,187,12,0,0,July,Jul,Saturday,Sat,PM,CST,Asia/Shanghai,800,8
80,74,29.71,4,null,null,3,null,87,73,null,69,87,62,98,2003,2010,100,52,75,71,29.77,29.68,7,2,7,1,0,0,0,1,0,0,0,null,null,null,0.16,3.15,2013,0.09,null,null,null,null,null,30,0,15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8,rain,1531022400,"12:00 PM CST on July 08, 2018","Sun, 08 Jul 2018 12:00:00 +0800",2018-07-08T12:00:00+0800,2018,7,8,188,12,0,0,July,Jul,Sunday,Sun,PM,CST,Asia/Shanghai,800,8
78,73,29.82,5,null,null,3,null,82,75,null,69,87,64,98,1996,2017,94,65,75,68,29.89,29.76,9,2,8,1,0,0,0,1,1,0,0,null,null,null,0,1.1,2012,0.09,null,null,null,null,null,28,0,14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,tstorms,1531108800,"12:00 PM CST on July 09, 2018","Mon, 09 Jul 2018 12:00:00 +0800",2018-07-09T12:00:00+0800,2018,7,9,189,12,0,0,July,Jul,Monday,Mon,PM,CST,Asia/Shanghai,800,8
78,70,29.86,3,null,null,6,null,84,73,null,70,87,66,100,1996,2014,88,51,72,68,29.89,29.8,7,0,13,4,0,0,0,1,0,0,0,null,null,null,0,0.51,2012,0.09,null,null,null,null,null,28,0,14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,rain,1531195200,"12:00 PM CST on July 10, 2018","Tue, 10 Jul 2018 12:00:00 +0800",2018-07-10T12:00:00+0800,2018,7,10,190,12,0,0,July,Jul,Tuesday,Tue,PM,CST,Asia/Shanghai,800,8
